method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,190.7578558225508
vpd_simhash,0.0,1.0,481.8897637795276
vpd_simhash,0.0,2.0,791.4746543778801
vpd_simhash,0.0,3.0,2469.1629955947137
vpd_simhash,0.0,4.0,5680.487804878048
vpd_simhash,0.0,5.0,7411.111111111111
vpd_simhash,0.0,6.0,9162.19512195122
vpd_simhash,0.0,7.0,10651.25
vpd_simhash,0.0,8.0,10712.048192771084
vpd_simhash,0.0,9.0,11092.592592592591
vpd_simhash,0.0,10.0,11872.368421052632
vpd_simhash,0.0,11.0,12226.027397260274
vpd_simhash,0.0,12.0,13042.857142857143
vpd_simhash,0.0,13.0,12854.929577464787
vpd_simhash,0.0,14.0,11505.128205128203
vpd_simhash,0.0,15.0,11814.473684210529
vpd_simhash,0.0,16.0,13382.608695652174
vpd_simhash,0.0,17.0,12876.05633802817
vpd_simhash,0.0,18.0,11424.050632911392
vpd_simhash,0.0,19.0,12412.162162162162
vpd_simhash,0.0,20.0,12272.0
vpd_simhash,0.0,21.0,13338.57142857143
vpd_simhash,0.0,22.0,12006.578947368422
vpd_simhash,0.0,23.0,12119.736842105263
vpd_simhash,0.0,24.0,11275.60975609756
vpd_simhash,0.0,25.0,12542.666666666666
vpd_simhash,0.0,26.0,12357.894736842103
vpd_simhash,0.0,27.0,11518.75
vpd_simhash,0.0,28.0,10867.857142857143
vpd_simhash,0.0,29.0,11380.487804878048
vpd_simhash,0.0,30.0,11580.0
vpd_simhash,0.0,31.0,11676.25
vpd_simhash,0.0,32.0,11837.974683544304
vpd_simhash,0.0,33.0,12032.467532467532
vpd_simhash,0.0,34.0,12381.333333333334
vpd_simhash,0.0,35.0,12768.493150684932
vpd_simhash,0.0,36.0,12569.333333333334
vpd_simhash,0.0,37.0,12682.432432432432
vpd_simhash,0.0,38.0,12551.351351351352
vpd_simhash,0.0,39.0,13037.5
vpd_simhash,0.0,40.0,13608.57142857143
vpd_simhash,0.0,41.0,13425.714285714286
vpd_simhash,0.0,42.0,13480.0
vpd_simhash,0.0,43.0,13425.352112676055
vpd_simhash,0.0,44.0,13154.166666666666
vpd_simhash,0.0,45.0,12797.297297297297
vpd_simhash,0.0,46.0,12783.783783783783
vpd_simhash,0.0,47.0,11960.25641025641
vpd_simhash,0.0,48.0,12123.376623376624
vpd_simhash,0.0,49.0,13002.777777777776
vpd_simhash,0.0,50.0,12786.301369863011
vpd_simhash,0.0,51.0,13079.166666666666
vpd_simhash,0.0,52.0,13986.764705882351
vpd_simhash,0.0,53.0,13601.42857142857
vpd_simhash,0.0,54.0,11884.615384615385
vpd_simhash,0.0,55.0,12272.368421052632
vpd_simhash,0.0,56.0,13045.833333333334
vpd_simhash,0.0,57.0,12348.0
vpd_simhash,0.0,58.0,12802.739726027396
vpd_simhash,0.0,59.0,12694.594594594597
vpd_simhash,0.0,60.0,12460.0
vpd_simhash,0.0,61.0,13166.666666666666
vpd_simhash,0.0,62.0,12941.09589041096
vpd_simhash,0.0,63.0,12456.0
vpd_simhash,0.0,64.0,12192.207792207791
vpd_simhash,0.0,65.0,13056.944444444443
vpd_simhash,0.0,66.0,12196.103896103896
vpd_simhash,0.0,67.0,12469.736842105263
vpd_simhash,0.0,68.0,12672.0
vpd_simhash,0.0,69.0,12824.324324324323
vpd_simhash,0.0,70.0,13143.055555555557
vpd_simhash,0.0,71.0,13440.277777777776
vpd_simhash,0.0,72.0,13625.352112676055
vpd_simhash,0.0,73.0,13772.857142857143
vpd_simhash,0.0,74.0,13505.6338028169
vpd_simhash,0.0,75.0,13100.0
vpd_simhash,0.0,76.0,13183.561643835616
vpd_simhash,0.0,77.0,13622.535211267606
vpd_simhash,0.0,78.0,13984.057971014492
vpd_simhash,0.0,79.0,13908.695652173914
vpd_simhash,0.0,80.0,13581.69014084507
vpd_simhash,0.0,81.0,13515.49295774648
vpd_simhash,0.0,82.0,13875.36231884058
vpd_simhash,0.0,83.0,14225.0
vpd_simhash,0.0,84.0,13090.410958904107
vpd_simhash,0.0,85.0,13583.098591549297
vpd_simhash,0.0,86.0,13695.714285714286
vpd_simhash,0.0,87.0,13238.888888888889
vpd_simhash,0.0,88.0,13291.666666666666
vpd_simhash,0.0,89.0,13717.142857142857
vpd_simhash,0.0,90.0,12961.643835616438
vpd_simhash,0.0,91.0,13557.74647887324
vpd_simhash,0.0,92.0,13777.142857142857
vpd_simhash,0.0,93.0,13625.714285714286
vpd_simhash,0.0,94.0,13641.42857142857
vpd_simhash,0.0,95.0,13569.014084507042
vpd_simhash,0.0,96.0,13426.76056338028
vpd_simhash,0.0,97.0,13256.944444444443
vpd_simhash,0.0,98.0,13821.42857142857
vpd_simhash,0.0,99.0,13646.478873239435
vpd_simhash,1.0,0.0,18.711656441717796
vpd_simhash,1.0,1.0,207.6190476190476
vpd_simhash,1.0,2.0,537.5968992248062
vpd_simhash,1.0,3.0,642.4489795918367
vpd_simhash,1.0,4.0,2263.983050847457
vpd_simhash,1.0,5.0,6036.283185840708
vpd_simhash,1.0,6.0,6122.608695652174
vpd_simhash,1.0,7.0,6173.504273504273
vpd_simhash,1.0,8.0,7718.0
vpd_simhash,1.0,9.0,9378.888888888889
vpd_simhash,1.0,10.0,8129.807692307692
vpd_simhash,1.0,11.0,11487.341772151898
vpd_simhash,1.0,12.0,12443.243243243243
vpd_simhash,1.0,13.0,12720.54794520548
vpd_simhash,1.0,14.0,12780.555555555557
vpd_simhash,1.0,15.0,12935.211267605631
vpd_simhash,1.0,16.0,10935.365853658535
vpd_simhash,1.0,17.0,11071.951219512195
vpd_simhash,1.0,18.0,9955.434782608696
vpd_simhash,1.0,19.0,9740.860215053764
vpd_simhash,1.0,20.0,9865.591397849465
vpd_simhash,1.0,21.0,10026.08695652174
vpd_simhash,1.0,22.0,10267.777777777776
vpd_simhash,1.0,23.0,10394.38202247191
vpd_simhash,1.0,24.0,10612.64367816092
vpd_simhash,1.0,25.0,10515.90909090909
vpd_simhash,1.0,26.0,10026.08695652174
vpd_simhash,1.0,27.0,10253.846153846154
vpd_simhash,1.0,28.0,10349.438202247193
vpd_simhash,1.0,29.0,10202.222222222224
vpd_simhash,1.0,30.0,10561.363636363636
vpd_simhash,1.0,31.0,10437.078651685391
vpd_simhash,1.0,32.0,11404.878048780489
vpd_simhash,1.0,33.0,10545.454545454546
vpd_simhash,1.0,34.0,10945.882352941177
vpd_simhash,1.0,35.0,11052.941176470587
vpd_simhash,1.0,36.0,11680.246913580248
vpd_simhash,1.0,37.0,11356.09756097561
vpd_simhash,1.0,38.0,11931.645569620254
vpd_simhash,1.0,39.0,13308.450704225352
vpd_simhash,1.0,40.0,12373.684210526317
vpd_simhash,1.0,41.0,12702.702702702703
vpd_simhash,1.0,42.0,12529.333333333334
vpd_simhash,1.0,43.0,11388.888888888889
vpd_simhash,1.0,44.0,10963.529411764706
vpd_simhash,1.0,45.0,11964.102564102564
vpd_simhash,1.0,46.0,12368.421052631578
vpd_simhash,1.0,47.0,13665.714285714286
vpd_simhash,1.0,48.0,13528.169014084508
vpd_simhash,1.0,49.0,13631.42857142857
vpd_simhash,1.0,50.0,14066.176470588236
vpd_simhash,1.0,51.0,14079.411764705885
vpd_simhash,1.0,52.0,13748.57142857143
vpd_simhash,1.0,53.0,13737.142857142857
vpd_simhash,1.0,54.0,13548.57142857143
vpd_simhash,1.0,55.0,14201.470588235294
vpd_simhash,1.0,56.0,13931.884057971014
vpd_simhash,1.0,57.0,14011.764705882351
vpd_simhash,1.0,58.0,14026.470588235294
vpd_simhash,1.0,59.0,13551.42857142857
vpd_simhash,1.0,60.0,13789.855072463768
vpd_simhash,1.0,61.0,13784.057971014492
vpd_simhash,1.0,62.0,13769.565217391304
vpd_simhash,1.0,63.0,13943.478260869566
vpd_simhash,1.0,64.0,13949.27536231884
vpd_simhash,1.0,65.0,13674.285714285714
vpd_simhash,1.0,66.0,13625.714285714286
vpd_simhash,1.0,67.0,14243.283582089553
vpd_simhash,1.0,68.0,13628.57142857143
vpd_simhash,1.0,69.0,14005.882352941177
vpd_simhash,1.0,70.0,13578.87323943662
vpd_simhash,1.0,71.0,14270.149253731342
vpd_simhash,1.0,72.0,13868.115942028986
vpd_simhash,1.0,73.0,13802.857142857143
vpd_simhash,1.0,74.0,14371.641791044776
vpd_simhash,1.0,75.0,14241.176470588236
vpd_simhash,1.0,76.0,14288.059701492535
vpd_simhash,1.0,77.0,13844.927536231884
vpd_simhash,1.0,78.0,14138.235294117649
vpd_simhash,1.0,79.0,13923.188405797102
vpd_simhash,1.0,80.0,14305.970149253732
vpd_simhash,1.0,81.0,13997.058823529413
vpd_simhash,1.0,82.0,14563.636363636364
vpd_simhash,1.0,83.0,13882.608695652174
vpd_simhash,1.0,84.0,13833.333333333334
vpd_simhash,1.0,85.0,14085.29411764706
vpd_simhash,1.0,86.0,13785.714285714286
vpd_simhash,1.0,87.0,13714.285714285714
vpd_simhash,1.0,88.0,14323.880597014926
vpd_simhash,1.0,89.0,14148.529411764706
vpd_simhash,1.0,90.0,13989.855072463768
vpd_simhash,1.0,91.0,13050.684931506848
vpd_simhash,1.0,92.0,13446.478873239435
vpd_simhash,1.0,93.0,13197.222222222224
vpd_simhash,1.0,94.0,13387.323943661971
vpd_simhash,1.0,95.0,13516.901408450703
vpd_simhash,1.0,96.0,13594.285714285714
vpd_simhash,1.0,97.0,13972.463768115942
vpd_simhash,1.0,98.0,13562.857142857143
vpd_simhash,1.0,99.0,13577.142857142857
vpd_simhash,2.0,0.0,85.71428571428571
vpd_simhash,2.0,1.0,215.8823529411765
vpd_simhash,2.0,2.0,643.3962264150944
vpd_simhash,2.0,3.0,1175.187969924812
vpd_simhash,2.0,4.0,1465.7534246575342
vpd_simhash,2.0,5.0,1997.3597359735973
vpd_simhash,2.0,6.0,3395.7219251336896
vpd_simhash,2.0,7.0,4475.974025974026
vpd_simhash,2.0,8.0,4643.589743589743
vpd_simhash,2.0,9.0,5678.260869565217
vpd_simhash,2.0,10.0,5937.777777777777
vpd_simhash,2.0,11.0,6812.295081967213
vpd_simhash,2.0,12.0,7707.142857142857
vpd_simhash,2.0,13.0,8615.686274509804
vpd_simhash,2.0,14.0,9408.333333333334
vpd_simhash,2.0,15.0,8972.277227722772
vpd_simhash,2.0,16.0,8713.333333333334
vpd_simhash,2.0,17.0,9728.421052631578
vpd_simhash,2.0,18.0,10300.0
vpd_simhash,2.0,19.0,10108.602150537634
vpd_simhash,2.0,20.0,10777.272727272728
vpd_simhash,2.0,21.0,10237.63440860215
vpd_simhash,2.0,22.0,10345.652173913044
vpd_simhash,2.0,23.0,10417.582417582418
vpd_simhash,2.0,24.0,9978.947368421052
vpd_simhash,2.0,25.0,9969.473684210529
vpd_simhash,2.0,26.0,10321.739130434782
vpd_simhash,2.0,27.0,9839.175257731958
vpd_simhash,2.0,28.0,11008.045977011494
vpd_simhash,2.0,29.0,11724.39024390244
vpd_simhash,2.0,30.0,12182.278481012658
vpd_simhash,2.0,31.0,12710.526315789471
vpd_simhash,2.0,32.0,13379.166666666666
vpd_simhash,2.0,33.0,13369.86301369863
vpd_simhash,2.0,34.0,12618.181818181818
vpd_simhash,2.0,35.0,12483.333333333334
vpd_simhash,2.0,36.0,12519.48051948052
vpd_simhash,2.0,37.0,12505.128205128203
vpd_simhash,2.0,38.0,12753.947368421052
vpd_simhash,2.0,39.0,12958.666666666666
vpd_simhash,2.0,40.0,13312.328767123288
vpd_simhash,2.0,41.0,13086.486486486489
vpd_simhash,2.0,42.0,13615.277777777776
vpd_simhash,2.0,43.0,12800.0
vpd_simhash,2.0,44.0,12705.194805194806
vpd_simhash,2.0,45.0,12972.368421052632
vpd_simhash,2.0,46.0,12172.5
vpd_simhash,2.0,47.0,12302.5
vpd_simhash,2.0,48.0,12610.25641025641
vpd_simhash,2.0,49.0,12587.179487179486
vpd_simhash,2.0,50.0,12910.526315789471
vpd_simhash,2.0,51.0,11778.313253012047
vpd_simhash,2.0,52.0,12408.860759493671
vpd_simhash,2.0,53.0,12070.37037037037
vpd_simhash,2.0,54.0,11902.439024390244
vpd_simhash,2.0,55.0,12176.543209876543
vpd_simhash,2.0,56.0,12738.96103896104
vpd_simhash,2.0,57.0,13090.666666666666
vpd_simhash,2.0,58.0,12742.857142857143
vpd_simhash,2.0,59.0,12367.088607594937
vpd_simhash,2.0,60.0,12952.631578947368
vpd_simhash,2.0,61.0,13026.666666666666
vpd_simhash,2.0,62.0,13052.0
vpd_simhash,2.0,63.0,12561.53846153846
vpd_simhash,2.0,64.0,13222.972972972972
vpd_simhash,2.0,65.0,12793.421052631578
vpd_simhash,2.0,66.0,12393.67088607595
vpd_simhash,2.0,67.0,12619.23076923077
vpd_simhash,2.0,68.0,12430.76923076923
vpd_simhash,2.0,69.0,13004.0
vpd_simhash,2.0,70.0,12923.684210526317
vpd_simhash,2.0,71.0,13267.567567567568
vpd_simhash,2.0,72.0,12478.481012658229
vpd_simhash,2.0,73.0,13546.575342465754
vpd_simhash,2.0,74.0,13916.901408450703
vpd_simhash,2.0,75.0,13645.833333333334
vpd_simhash,2.0,76.0,12944.736842105263
vpd_simhash,2.0,77.0,13280.0
vpd_simhash,2.0,78.0,13130.666666666666
vpd_simhash,2.0,79.0,12351.898734177215
vpd_simhash,2.0,80.0,13047.368421052632
vpd_simhash,2.0,81.0,13120.0
vpd_simhash,2.0,82.0,13317.567567567568
vpd_simhash,2.0,83.0,12250.0
vpd_simhash,2.0,84.0,12651.28205128205
vpd_simhash,2.0,85.0,12238.271604938273
vpd_simhash,2.0,86.0,13178.666666666666
vpd_simhash,2.0,87.0,12646.153846153846
vpd_simhash,2.0,88.0,14035.211267605631
vpd_simhash,2.0,89.0,12056.79012345679
vpd_simhash,2.0,90.0,12195.0
vpd_simhash,2.0,91.0,12819.48051948052
vpd_simhash,2.0,92.0,13594.520547945203
vpd_simhash,2.0,93.0,12569.23076923077
vpd_simhash,2.0,94.0,12701.28205128205
vpd_simhash,2.0,95.0,12427.848101265825
vpd_simhash,2.0,96.0,12728.57142857143
vpd_simhash,2.0,97.0,13098.666666666666
vpd_simhash,2.0,98.0,12569.23076923077
vpd_simhash,2.0,99.0,13146.666666666666
Rainbow,0.0,0.0,57.75193798449613
Rainbow,0.0,1.0,179.8095238095238
Rainbow,0.0,2.0,406.0728744939272
Rainbow,0.0,3.0,597.3799126637555
Rainbow,0.0,4.0,798.8095238095239
Rainbow,0.0,5.0,1001.0989010989013
Rainbow,0.0,6.0,3234.8314606741574
Rainbow,0.0,7.0,5776.521739130435
Rainbow,0.0,8.0,6271.2962962962965
Rainbow,0.0,9.0,4705.755395683454
Rainbow,0.0,10.0,5448.031496062992
Rainbow,0.0,11.0,6168.376068376068
Rainbow,0.0,12.0,6254.621848739495
Rainbow,0.0,13.0,6016.279069767442
Rainbow,0.0,14.0,7696.363636363636
Rainbow,0.0,15.0,7400.877192982456
Rainbow,0.0,16.0,7915.59633027523
Rainbow,0.0,17.0,8790.90909090909
Rainbow,0.0,18.0,8908.247422680412
Rainbow,0.0,19.0,8883.673469387755
Rainbow,0.0,20.0,9335.483870967742
Rainbow,0.0,21.0,9352.68817204301
Rainbow,0.0,22.0,9352.173913043478
Rainbow,0.0,23.0,10288.235294117649
Rainbow,0.0,24.0,10068.60465116279
Rainbow,0.0,25.0,9791.011235955057
Rainbow,0.0,26.0,10457.142857142857
Rainbow,0.0,27.0,10239.53488372093
Rainbow,0.0,28.0,9288.297872340425
Rainbow,0.0,29.0,10309.302325581397
Rainbow,0.0,30.0,10879.518072289156
Rainbow,0.0,31.0,10630.232558139534
Rainbow,0.0,32.0,11334.567901234568
Rainbow,0.0,33.0,10969.87951807229
Rainbow,0.0,34.0,10266.29213483146
Rainbow,0.0,35.0,12513.513513513511
Rainbow,0.0,36.0,11731.645569620254
Rainbow,0.0,37.0,11870.51282051282
Rainbow,0.0,38.0,11022.89156626506
Rainbow,0.0,39.0,11881.012658227848
Rainbow,0.0,40.0,11615.0
Rainbow,0.0,41.0,12031.16883116883
Rainbow,0.0,42.0,11455.555555555557
Rainbow,0.0,43.0,11493.75
Rainbow,0.0,44.0,12434.666666666666
Rainbow,0.0,45.0,12585.135135135137
Rainbow,0.0,46.0,12151.948051948051
Rainbow,0.0,47.0,11980.76923076923
Rainbow,0.0,48.0,12342.105263157897
Rainbow,0.0,49.0,12570.27027027027
Rainbow,0.0,50.0,11779.746835443038
Rainbow,0.0,51.0,11820.51282051282
Rainbow,0.0,52.0,12190.90909090909
Rainbow,0.0,53.0,12514.666666666666
Rainbow,0.0,54.0,12481.333333333334
Rainbow,0.0,55.0,12164.473684210529
Rainbow,0.0,56.0,11815.18987341772
Rainbow,0.0,57.0,12741.891891891892
Rainbow,0.0,58.0,12163.636363636364
Rainbow,0.0,59.0,12687.837837837838
Rainbow,0.0,60.0,12916.438356164384
Rainbow,0.0,61.0,12882.19178082192
Rainbow,0.0,62.0,12202.631578947368
Rainbow,0.0,63.0,12564.0
Rainbow,0.0,64.0,12420.0
Rainbow,0.0,65.0,11988.46153846154
Rainbow,0.0,66.0,12264.473684210529
Rainbow,0.0,67.0,12906.849315068494
Rainbow,0.0,68.0,12856.164383561643
Rainbow,0.0,69.0,11727.848101265825
Rainbow,0.0,70.0,12417.333333333334
Rainbow,0.0,71.0,12332.467532467532
Rainbow,0.0,72.0,12253.246753246753
Rainbow,0.0,73.0,12332.894736842103
Rainbow,0.0,74.0,12589.473684210529
Rainbow,0.0,75.0,12848.648648648648
Rainbow,0.0,76.0,12422.077922077922
Rainbow,0.0,77.0,12532.894736842103
Rainbow,0.0,78.0,12801.333333333334
Rainbow,0.0,79.0,12530.263157894737
